drzava,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Japan,31600.0,33100.0,33500.0,34100.0,34200.0,34000.0,36200.0,35900.0,37100.0,37500.0
Seychelles,7800.0,7800.0,16600.0,21000.0,21600.0,23200.0,26200.0,25000.0,25900.0,25800.0
Saint Martin,,,,,,,,,,19300.0
Chile,11900.0,12600.0,14300.0,14900.0,15500.0,15400.0,18400.0,18200.0,19100.0,23100.0
Malaysia,12000.0,12800.0,14500.0,15200.0,14700.0,14700.0,16900.0,16800.0,17500.0,25100.0
Gaza Strip,600.0,1500.0,1100.0,2900.0,,,,,,
"Bahamas, The",20200.0,21600.0,28000.0,30700.0,28600.0,28700.0,31300.0,31300.0,32000.0,25100.0
Angola,3800.0,4500.0,7800.0,9000.0,8700.0,8200.0,6200.0,6100.0,6300.0,7300.0
Mauritius,12800.0,13700.0,11300.0,12100.0,13500.0,14000.0,15600.0,15400.0,16100.0,18700.0
Wallis and Futuna,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0
Nepal,1400.0,1500.0,1000.0,1100.0,1200.0,1200.0,1300.0,1500.0,1500.0,2400.0
Mali,1200.0,1300.0,1100.0,1100.0,1200.0,1200.0,1100.0,1100.0,1100.0,1700.0
Cape Verde,6200.0,6000.0,3200.0,3800.0,3700.0,3800.0,4100.0,,,
Russia,11000.0,12200.0,14800.0,16100.0,15900.0,15900.0,17700.0,17500.0,18100.0,24400.0
"Congo, Democratic Republic of the",700.0,700.0,300.0,300.0,300.0,300.0,400.0,400.0,400.0,700.0
Colombia,7900.0,8600.0,7400.0,9200.0,9800.0,9800.0,10700.0,10700.0,11100.0,13500.0
Suriname,6600.0,7100.0,8700.0,8900.0,9900.0,9700.0,12300.0,12300.0,12900.0,16300.0
European Union,28100.0,29900.0,32700.0,33700.0,32900.0,32700.0,34500.0,34100.0,34500.0,39400.0
China,6800.0,7800.0,5400.0,6000.0,7400.0,7600.0,9100.0,9100.0,9800.0,13200.0
Greece,22300.0,24000.0,30600.0,32100.0,30200.0,29600.0,25100.0,24300.0,23600.0,26000.0
Trinidad and Tobago,16800.0,19800.0,25400.0,23600.0,22100.0,21200.0,20400.0,19800.0,20300.0,32200.0
Turkmenistan,7900.0,8500.0,5300.0,6500.0,7400.0,7500.0,8500.0,8600.0,9700.0,14200.0
Jersey,40000.0,57000.0,57000.0,57000.0,57000.0,57000.0,57000.0,57000.0,57000.0,57000.0
Chad,1400.0,1500.0,1500.0,1600.0,1800.0,1600.0,2000.0,2500.0,2500.0,2600.0
Nicaragua,2900.0,3100.0,2800.0,2900.0,2900.0,3000.0,3300.0,4400.0,4500.0,4800.0
Swaziland,5000.0,5300.0,4700.0,4400.0,4500.0,4500.0,5300.0,5700.0,5700.0,9600.0
United Arab Emirates,45200.0,49700.0,37000.0,44600.0,40200.0,49600.0,49000.0,29200.0,29900.0,66300.0
Morocco,4100.0,4600.0,3700.0,4500.0,4900.0,4800.0,5300.0,5200.0,5500.0,7800.0
"Congo, Republic of the",1300.0,1400.0,3400.0,3900.0,4200.0,4100.0,4700.0,4600.0,4800.0,6600.0
Samoa,2100.0,2100.0,5400.0,4700.0,5200.0,5500.0,6200.0,6200.0,6200.0,5200.0
Papua New Guinea,2600.0,2700.0,2100.0,2300.0,2500.0,2500.0,2700.0,2700.0,2900.0,2500.0
Western Sahara,,,,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
Yemen,900.0,1000.0,2500.0,2500.0,2600.0,2700.0,2200.0,2300.0,2500.0,3800.0
Kuwait,20300.0,23100.0,55900.0,57500.0,51700.0,48900.0,43800.0,39900.0,42100.0,70700.0
World,9500.0,10200.0,10000.0,10500.0,11100.0,,,,,
Netherlands Antilles,16000.0,16000.0,16000.0,16000.0,,,,,,
Brunei,23600.0,25600.0,51000.0,51300.0,50300.0,51600.0,50500.0,54100.0,54800.0,79900.0
Panama,7400.0,8200.0,10700.0,11800.0,12700.0,13000.0,15300.0,15400.0,16500.0,19500.0
