drzava,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Costa Rica,5.9,7.9,6.8,2.6,3.5,4.2,4.8,5.1,3.5,3.5
Bangladesh,6.4,6.4,6.3,5.8,6.0,6.0,6.1,6.1,5.8,6.3
Cabo Verde,,,,,,,,2.5,1.5,1.8
Curacao,,,,,3.5,3.5,3.5,0.0,3.6,3.6
Palau,5.5,5.5,5.5,5.5,,,,6.3,3.5,4.9
Tunisia,4.2,5.2,6.3,4.4,3.4,3.7,2.7,3.6,2.8,2.3
Sao Tome and Principe,6.0,4.4,6.0,5.5,6.0,4.5,4.5,4.0,4.5,4.5
"Congo, Democratic Republic of the",7.1,6.4,7.0,5.9,3.0,7.2,7.1,7.2,6.2,9.2
Guernsey,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.8
Norway,4.0,4.6,3.7,2.5,1.5,0.4,3.1,3.0,1.6,2.2
Iceland,5.6,2.6,3.8,1.3,-3.4,-3.5,2.7,1.6,1.9,1.8
Reunion,2.5,,,,,,,,,
Anguilla,10.2,10.2,10.2,10.2,-8.5,-8.5,-8.5,-8.5,-8.5,-8.5
Dominican Republic,9.3,10.7,8.5,5.3,4.2,7.8,4.0,3.9,2.0,7.3
Madagascar,5.1,4.7,6.3,7.0,1.5,-2.0,1.9,1.9,2.6,3.3
United States,3.2,2.9,2.0,0.4,2.8,2.8,2.3,2.8,1.6,2.4
Togo,1.0,2.0,2.1,1.1,3.3,3.4,5.0,5.6,5.5,5.0
Mongolia,6.2,7.5,9.9,9.0,7.0,6.1,12.7,12.3,11.8,7.8
Montserrat,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.5,3.5,3.5,3.5
Tonga,2.4,2.4,-3.5,0.8,-0.5,0.3,1.4,0.7,1.0,2.3
Croatia,4.3,4.8,5.7,2.4,-1.4,-1.4,-1.1,-2.0,-1.0,-0.4
Timor-Leste,,1.8,19.8,12.8,8.0,6.1,10.0,8.3,8.1,4.5
Somalia,2.4,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6
Georgia,9.3,9.4,12.0,2.1,5.5,6.4,6.0,6.1,2.5,4.8
Papua New Guinea,3.0,3.7,6.0,7.0,6.2,7.0,7.7,8.1,5.4,8.5
Guyana,-3.0,4.7,5.3,3.0,2.5,3.6,3.7,4.8,5.3,3.8
San Marino,2.3,4.6,4.6,4.3,4.3,-13.0,-2.6,-4.0,-3.5,-1.0
Cambodia,13.4,10.5,10.1,5.0,4.1,6.0,6.5,7.3,7.0,7.0
Faroe Islands,10.0,2.4,2.4,2.4,0.5,0.5,2.9,2.9,2.9,2.9
Cote d'Ivoire,1.0,1.2,1.6,2.3,3.6,2.6,8.1,9.8,8.0,7.9
Isle of Man,6.3,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,2.2
Syria,2.8,4.0,4.3,5.1,4.0,3.2,,,-2.3,
Marshall Islands,3.5,3.5,3.5,-0.3,-0.3,-0.3,-0.3,1.9,2.3,0.5
Uzbekistan,7.0,7.3,9.5,9.0,8.2,8.5,7.4,8.2,7.0,8.1
Liberia,9.8,7.8,9.4,7.1,6.0,5.1,9.0,8.3,8.1,0.7
Argentina,9.2,8.5,8.7,6.8,7.5,7.5,2.6,1.9,3.5,0.5
Monaco,0.9,0.9,0.9,0.9,,,2.5,5.1,0.9,9.3
Aruba,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
Switzerland,1.9,2.7,3.1,1.8,2.8,2.6,0.8,1.0,2.0,1.9
Romania,4.1,7.7,6.0,7.1,-1.9,-1.3,0.9,0.7,3.5,2.8
South Sudan,,,,,,,-55.0,-47.6,24.7,2.9
Malawi,1.9,8.5,8.0,9.7,6.5,6.6,4.3,1.9,5.0,5.7
Sierra Leone,7.5,7.1,7.0,5.5,5.2,5.0,21.3,15.2,13.3,7.1
Virgin Islands,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-5.4
