drzava,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Slovakia,5439448,5447502,5455407,5463046,5470306,5477038,5483088,5488339,5443583,5445027
Cote d'Ivoire,17654843,18013409,20179602,20617068,21058798,21504162,21952093,22400835,22848945,23295302
Madagascar,18595469,19448815,20042552,20653556,21281844,21926221,22005222,22599098,23201926,23812681
"Congo, Democratic Republic of the",62660551,65751512,66514504,68692542,70916439,71712867,73599190,75507308,77433744,79375136
"Congo, Republic of the",3702314,3800610,3903318,4012809,4125916,4243929,4366266,4492689,4662446,4755097
Dominican Republic,9183984,9365818,9507133,9650054,9823821,9956648,10088598,10219630,10349741,10478756
Syria,18881361,19314747,19747586,20178485,22198110,22517750,22530746,22457336,17951639,17064854
Namibia,2044147,2055080,2088669,2108665,2128471,2147585,2165828,2182852,2198406,2212307
Puerto Rico,3927188,3944259,3958128,3971020,3978702,3989133,3690923,3674209,3620897,3598357
Botswana,1639833,1815508,1842323,1990876,2029307,2065398,2098018,2127825,2155784,2182719
Belize,287730,294385,301270,307899,314522,321115,327719,334297,340844,347369
Laos,6368481,6521998,6677534,6834942,6368162,6477211,6586266,6695166,6803699,6911544
Bermuda,65773,66163,66536,67837,68265,68679,69080,69467,69839,70196
Turkmenistan,5042920,5097028,5179571,4884887,4940916,4997503,5054828,5113040,5171943,5231422
Saint Martin,,33102,29376,29820,30235,30615,30959,31264,31530,31754
Philippines,89468677,91077287,96061680,97976603,99900177,101833938,103775002,105720644,107668231,100998376
"Korea, South",48846823,49044790,48379392,48508972,48636068,48754657,48860500,48955203,49039986,49115196
"Gambia, The",1641564,1688359,1735464,1782893,1824158,1797860,1840454,1883051,1925527,1967709
Guatemala,12293545,12728111,13002206,13276517,13550440,13824463,14099032,14373472,14647083,14918999
Netherlands,16491461,16570613,16645313,16715999,16783092,16847007,16730632,16805037,16877351,16947904
Singapore,4492150,4553009,4608167,4657542,4701069,4740737,5353494,5460302,5567301,5674472
Equatorial Guinea,540109,551201,616459,633441,650702,668225,685991,704001,722254,740743
South Sudan,,,,,,8260490,10625176,11090104,11562695,12042910
Peru,28302603,28674757,29180900,29546963,29907003,29248943,29549517,29849303,30147935,30444999
Nepal,28287147,28901790,29519114,28563377,28951852,29391883,29890686,30430267,30986975,31551305
Guam,171019,173456,175877,,,,159914,160378,161001,161785
Greenland,56361,56344,57564,57600,57637,57670,57695,57714,57728,57733
Zimbabwe,12236805,12311143,11350111,11392629,11651858,12084304,12619600,13182908,13771721,14229541
Costa Rica,4075261,4133884,4195914,4253877,4516220,4576562,4636348,4695942,4755234,4814144
Curacao,,,,,142180,142180,145834,146836,146836,146836
Morocco,33241259,33757175,34343220,34859364,31627428,31968361,32309239,32649130,32987206,33322699
United States,298444215,301139947,303824640,307212123,310232863,313232044,313847465,316668567,318892103,321368864
Senegal,11987121,12521851,12853259,13711597,12323252,12643799,12969606,13300410,13635927,13975834
Belarus,10293011,9724723,9685768,9648533,9612632,9577552,9643566,9625888,9608058,9589689
Tokelau,1392,1449,1433,1416,1400,1384,1368,1353,1337,1337
Macau,453125,456989,545674,559846,567957,573003,578025,583003,587914,592731
Czech Republic,10235455,10228744,10220911,10211904,10201707,10190213,10177300,10162921,10627448,10644842
Bahrain,698585,708573,718306,727785,738004,1214705,1248348,1281332,1314089,1346613
Malta,400214,401880,403532,405165,406771,408333,409836,411277,412655,413965
Seychelles,81541,81895,82247,87476,88340,89188,90024,90846,91650,92430
Uruguay,3431932,3460607,3477778,3494382,3510386,3308535,3316328,3324460,3332972,3341893
Martinique,436131,,,,,,,,,
Saint Lucia,168458,170649,159585,160267,160922,161557,162178,162781,163362,163922
Cambodia,13881427,13995904,14241640,14494293,14453680,14701717,14952665,15205539,15458332,15708756
Tonga,114689,116921,119009,120898,122580,105916,106146,106322,106440,106501
Kyrgyzstan,5213898,5284149,5356869,5431747,5508626,5587443,5496737,5548042,5604212,5664939
Libya,5900754,6036914,6173579,6310434,6461454,6597960,5613380,6002347,6244174,6411776
Jersey,91084,91321,91533,91626,93363,94161,94949,95732,96513,97294
Cabo Verde,,,,,,,,531046,538535,545993
Sri Lanka,20222240,20926315,21128772,21324791,21513990,21283913,21481334,21675648,21866445,22053488
Saint Helena,7502,7543,7601,7637,,,,,,
Mauritania,3177388,3270065,3364940,3129486,3205060,3281634,3359185,3437610,3516806,3596702
Papua New Guinea,5670544,5795887,5931769,6057263,6064515,6187591,6310129,6431902,6552730,6672429
Mozambique,19686505,20905585,21284700,21669278,22061451,22948858,23515934,24096669,24692144,25303113
Vietnam,84402966,85262356,86116560,86967524,89571130,90549390,91519289,92477857,93421835,94348835
Eritrea,4786994,4906585,5502026,5647168,5792984,5939484,6086495,6233682,6380803,6527689
Malawi,13013926,13603181,13931831,14268711,15447500,15879252,16323044,16777547,17377468,17964697
Colombia,43593035,44379598,45013672,45644023,44205293,44725543,45239079,45745783,46245297,46736728
"Micronesia, Federated States of",108004,107862,107665,107434,107154,106836,106487,106104,105681,105216
Malaysia,24385858,24821286,25274132,25715819,28274729,28728607,29179952,29628392,30073353,30513848
Kazakhstan,15233244,15284929,15340533,15399437,15460484,15522373,17522010,17736896,17948816,18157122
Faroe Islands,47246,47511,48668,48856,49057,49267,49483,49709,49947,50196
Hong Kong,6940432,6980412,7018636,7055071,7089705,7122508,7153519,7182724,7112688,7141106
Austria,8192880,8199783,8205533,8210281,8214160,8217280,8219743,8221646,8223062,8665550
Algeria,32930091,33333216,33769668,34178188,34586184,34994937,37367226,38087812,38813722,39542166
San Marino,29251,29615,29973,30324,31477,31817,32140,32448,32742,33020
South Africa,44187637,43997828,48782756,49052489,49109107,49004031,48810427,48601098,48375645,53675563
Bhutan,2279723,2327849,682321,691141,699847,708427,716896,725296,733643,741919
